nombre,L,c,area_entrada,area_salida,ganancia_espectral,freqs,S_L,L0,T_axial
acero,1.000006063045451,5172.2098326352,87648433.42249879,18190736835.33882,207.5420646442424,"[0.00000000e+00 1.24998499e+01 2.49996999e+01 ... 4.56844516e+05
 4.56857015e+05 4.56869515e+05]","[34.9530977  34.92278059 34.83167309 ...  0.05656528  0.05656528
  0.05656528]",1,1.0
aluminio,1.000018452747025,5055.296937446633,83713964.87690753,17111446494.642563,204.40372785834626,"[0.00000000e+00 1.24999787e+01 2.49999574e+01 ... 4.46511740e+05
 4.46524240e+05 4.46536740e+05]","[28.69480817 28.73944256 28.87373897 ...  0.8405279   0.8405279
  0.84052789]",1,1.0
cobre,1.000011574904952,3503.8447192924336,40044419.15725859,5607992338.717793,140.04429223194936,"[0.00000000e+00 1.24998567e+01 2.49997133e+01 ... 3.09471451e+05
 3.09483951e+05 3.09496451e+05]","[154.74900967 154.78655171 154.89936669 ...   0.18553733   0.18553733
   0.18553733]",1,1.0
nylon,1.0004244131815785,1615.4884143798192,8249362.508246761,528893282.76783854,64.1132308392451,"[0.00000000e+00 1.24997536e+01 2.49995071e+01 ... 1.42609689e+05
 1.42622188e+05 1.42634688e+05]","[14.50533216 14.51136348 14.52958645 ...  0.14617141  0.14617141
  0.14617141]",1,1.0
acero,1.0000121260909023,5172.225512188017,87647950.19523971,18190383535.39378,207.5391779827582,"[0.00000000e+00 1.24999830e+01 2.49999661e+01 ... 4.56849380e+05
 4.56861880e+05 4.56874380e+05]","[33.27902303 33.24976049 33.16182008 ...  0.06805385  0.06805385
  0.06805385]",1,2.0
aluminio,1.0000369054940503,5055.343578428578,83712370.25923677,17111309411.126694,204.40598394403537,"[0.00000000e+00 1.24998634e+01 2.49997268e+01 ... 4.46507620e+05
 4.46520120e+05 4.46532620e+05]","[32.88592972 32.93359913 33.07700951 ...  0.84414778  0.84414777
  0.84414777]",1,2.0
cobre,1.0000231498099044,3503.864997333835,40043967.039465584,5607930441.301671,140.04432767050127,"[0.00000000e+00 1.24997843e+01 2.49995687e+01 ... 3.09469660e+05
 3.09482160e+05 3.09494660e+05]","[156.28509837 156.32283079 156.43621782 ...   0.17607886   0.17607886
   0.17607885]",1,2.0
nylon,1.0008488263631568,1615.8310498987605,8245725.6476568505,528425537.821872,64.084782880453,"[0.00000000e+00 1.24998414e+01 2.49996829e+01 ... 1.42585691e+05
 1.42598191e+05 1.42610691e+05]",[2.32395522 2.32643226 2.33392533 ... 0.24934549 0.24934549 0.24934549],1,2.0
acero,1.0000181891363533,5172.2411916933015,87647390.91610715,18190195874.044315,207.53836119839895,"[0.00000000e+00 1.24999451e+01 2.49998903e+01 ... 4.56847995e+05
 4.56860495e+05 4.56872995e+05]","[33.80716812 33.77754372 33.68851677 ...  0.06489492  0.06489492
  0.06489492]",1,3.0
aluminio,1.0000553582410754,5055.390218980214,83710831.91240236,17110111766.823395,204.3954333738787,"[0.0000000e+00 1.2499923e+01 2.4999846e+01 ... 4.4650975e+05 4.4652225e+05
 4.4653475e+05]","[23.14355529 23.18381776 23.30498634 ...  0.81513367  0.81513367
  0.81513367]",1,3.0
cobre,1.0000347247148564,3503.885275257881,40043494.12463844,5607881811.971323,140.0447671853101,"[0.00000000e+00 1.24999644e+01 2.49999288e+01 ... 3.09474119e+05
 3.09486619e+05 3.09499119e+05]","[147.11102854 147.14771173 147.25794562 ...   0.23684892   0.23684891
   0.23684891]",1,3.0
nylon,1.0012732395447352,1616.1736127775505,8242099.222368938,527770911.2944729,64.03355468739205,"[0.00000000e+00 1.24999310e+01 2.49998621e+01 ... 1.42549214e+05
 1.42561713e+05 1.42574213e+05]",[0.96751119 0.96645322 0.9632706  ... 0.23806456 0.23806455 0.23806455],1,3.0
acero,1.0000242521818046,5172.256871151054,87646840.72994162,18190007698.03603,207.53751700056452,"[0.00000000e+00 1.24999073e+01 2.49998145e+01 ... 4.56846610e+05
 4.56859110e+05 4.56871610e+05]","[34.32209978 34.29212469 34.20204479 ...  0.0617759   0.0617759
  0.0617759 ]",1,4.0
aluminio,1.0000738109881007,5055.436859101553,83709315.56779331,17108928295.667322,204.38499800910913,"[0.00000000e+00 1.24999827e+01 2.49999653e+01 ... 4.46499380e+05
 4.46511880e+05 4.46524380e+05]","[15.19822454 15.23119297 15.33045867 ...  0.78474086  0.78474085
  0.78474085]",1,4.0
cobre,1.0000462996198085,3503.9055530645737,40043016.23106555,5607825358.806781,140.0450287372759,"[0.00000000e+00 1.24998921e+01 2.49997841e+01 ... 3.09472328e+05
 3.09484828e+05 3.09497328e+05]","[148.87303983 148.90994357 149.0208402  ...   0.22650034   0.22650034
   0.22650034]",1,4.0
nylon,1.0016976527263135,1616.516103062369,8238528.664068463,527159103.47432375,63.98704489230906,"[0.00000000e+00 1.24994743e+01 2.49989487e+01 ... 1.42519006e+05
 1.42531506e+05 1.42544005e+05]",[6.71327786 6.71015036 6.70071513 ... 0.13314143 0.13314142 0.13314142],1,4.0
