L0,nombre,T_axial,ganancia_espectral
1,acero,1.0,207.5420646442424
5,acero,1.0,40.26055976850976
10,acero,2.0,18.618326302227114
25,acero,1.0,8.082648793039574
50,acero,20.0,3.4001675567271037
75,aluminio,1.0,2.106177630795151
100,acero,1.0,1.4396350390524457
