L0,nombre,T_axial,ganancia_espectral
1,cuerda3,1.0,37.4782554758599
5,cuerda3,1.0,7.583326379607574
10,cuerda3,1.0,2.9710577507758504
25,cuerda3,1.0,1.0659937353496594
50,cuerda5,2.0,0.514282790283429
75,cuerda3,1.0,0.011527657364322569
100,cuerda1,1.0,0.0
